run_id,variant_id,variant_label,factor,factor_level,contrast_variant_id,training_seed,episode_count,robust_success_fraction,mean_upright_fraction_12deg,mean_longest_upright_seconds,mean_pole_angle_rms_radians,mean_cart_position_rms,mean_max_abs_cart_position,mean_abs_cart_velocity,mean_pole_angular_velocity_rms,mean_abs_normalized_action,mean_abs_requested_effort,mean_abs_action_delta,mean_action_total_variation,mean_action_sign_changes_per_second,mean_action_saturation_fraction,time_limit_fraction
phase2_cartpole_controlled_ablation__R_CV2__seed7,R_CV2,Cart-vel -0.02,reward,-0.02,B0,7,25,1.0,0.9979333333333333,29.93133333333333,0.02179191534456553,0.9614991520464069,1.1000549983978272,0.05080864680608114,0.1587301669438014,0.005631235403484768,0.5631241061740452,0.0008737343912524869,1.571848169863224,0.024,0.0005777777777777779,1.0
phase2_cartpole_controlled_ablation__R_CV2__seed42,R_CV2,Cart-vel -0.02,reward,-0.02,B0,42,25,1.0,0.9926444444444446,29.724666666666668,0.032138590465921185,1.331442418850499,1.4599892091751099,0.06663594445122613,0.13459402757042718,0.007074982934527927,0.7075007948133681,0.0005256510350755879,0.9456462121009827,0.014666666666666666,0.0003111111111111111,1.0
phase2_cartpole_controlled_ablation__R_CV2__seed123,R_CV2,Cart-vel -0.02,reward,-0.02,B0,123,25,1.0,0.9975111111111111,29.909333333333333,0.023333507002854477,0.9235841970105266,1.1213262176513672,0.04480805413987902,0.14972220545242781,0.004770861016379462,0.47708589274088536,0.0006174395384557914,1.1107737296819686,0.018666666666666668,0.0004222222222222222,1.0
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,Effort 50,action,50.0,B0,7,25,1.0,0.9945333333333334,29.795333333333332,0.028281606500369115,0.6635626879568826,0.940304946899414,0.04461357908977402,0.1625254611593758,0.009900006413459778,0.4949927456961738,0.0011186916096598788,2.012526205778122,0.026666666666666665,0.0011333333333333334,1.0
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,Effort 50,action,50.0,B0,42,25,1.0,0.9938222222222223,29.768666666666668,0.030308056682465372,1.6583384198476672,1.7759286832809449,0.07926545766194662,0.1603561421046651,0.01690516760084364,0.8452469265407986,0.0009374573947722015,1.6864858531951905,0.024,0.0013333333333333333,1.0
phase2_cartpole_controlled_ablation__A_E50__seed123,A_E50,Effort 50,action,50.0,B0,123,25,0.92,0.9832222222222222,29.21,0.0473839459129885,0.34946309167856127,1.0816737818717956,0.08960274666680229,0.14769866811357624,0.019422233894136217,0.9711091918945313,0.0012130508355262081,2.1822784531116484,0.048,0.0011111111111111111,1.0
phase2_cartpole_controlled_ablation__A_E200__seed7,A_E200,Effort 200,action,200.0,B0,7,25,1.0,0.9975555555555556,29.917333333333335,0.023368199486106644,0.17187974616319174,0.8786433053016662,0.050859549289279514,0.17262217677363215,0.002830646868546804,0.5661294538709852,0.0005413019103828969,0.9738021367788314,0.005333333333333333,0.00017777777777777779,1.0
phase2_cartpole_controlled_ablation__A_E200__seed42,A_E200,Effort 200,action,200.0,B0,42,25,1.0,0.9940666666666667,29.77466666666667,0.028375907855185446,0.3655727281542901,0.8837970900535583,0.04017643593682183,0.18977577857464517,0.0023986972636646695,0.4797421561347114,0.00044966388371601713,0.8089453268051148,0.009333333333333334,0.00017777777777777779,1.0
phase2_cartpole_controlled_ablation__A_E200__seed123,A_E200,Effort 200,action,200.0,B0,123,25,1.0,0.9964888888888889,29.866666666666664,0.028937630115693894,1.1924556119649068,1.375081124305725,0.04903833503723145,0.15325221574701078,0.002716425500975715,0.5432876725938585,0.0005139415677618224,0.9245808804035187,0.018666666666666668,0.0002666666666666666,1.0
phase2_cartpole_controlled_ablation__T_B15__seed7,T_B15,Bound 1.5,termination,1.5,B0,7,25,0.96,0.9671333333333334,28.29,0.06674283791609747,0.8485367020991577,1.101795313358307,0.13838251991271971,0.2691145121607348,0.03559312325053745,3.5593135669284397,0.008176558073123088,1.5338110852241515,0.1,0.0062,0.96
phase2_cartpole_controlled_ablation__T_B15__seed42,T_B15,Bound 1.5,termination,1.5,B0,42,25,1.0,0.9900444444444445,28.476666666666667,0.08249678662613653,0.5015402153090647,0.9772753095626832,0.4916432603624132,0.2541369431764389,0.05326266869439019,5.326265668402778,0.002191195511831185,3.941960725784302,0.35600000000000004,0.0005333333333333334,1.0
phase2_cartpole_controlled_ablation__T_B15__seed123,T_B15,Bound 1.5,termination,1.5,B0,123,25,1.0,0.9871555555555556,29.381999999999998,0.04287857033445363,0.43815480008722096,0.9470408439636231,0.06644703987969293,0.21500495922533053,0.008077742608388266,0.8077687967936198,0.0007814618052211716,1.405849787592888,0.04,0.0005111111111111112,1.0
phase2_cartpole_controlled_ablation__T_B60__seed7,T_B60,Bound 6.0,termination,6.0,B0,7,25,1.0,0.9978,29.934,0.02306135977376292,0.46213838468887775,1.1306539976596832,0.09324303302764893,0.12452975680404071,0.00964343920548757,0.9643435275607639,0.0007678145359064751,1.381298350095749,0.012,0.0004222222222222222,1.0
phase2_cartpole_controlled_ablation__T_B60__seed42,T_B60,Bound 6.0,termination,6.0,B0,42,25,0.0,0.21082087434409416,0.04333333333333333,0.758366260560438,1.2613338449116067,2.679101333618164,10.974810117145761,6.178204767849562,3.7960269797833206,379.60270633344646,0.4938778215262045,6.603950424194336,0.0,0.8594780654502017,0.0
phase2_cartpole_controlled_ablation__T_B60__seed123,T_B60,Bound 6.0,termination,6.0,B0,123,25,0.96,0.9525850746268657,28.391333333333332,0.09958359811399758,0.7335539687184613,1.1575422954559327,0.3195288891945708,0.37898242034088264,0.04817165593412978,4.817168404604783,0.002770014500289471,1.0407213121652603,0.05715422885572139,0.019171144278606965,0.96
