variant_id,contrast_variant_id,training_seed,delta_robust_success_fraction,delta_mean_upright_fraction_12deg,delta_mean_longest_upright_seconds,delta_mean_pole_angle_rms_radians,delta_mean_cart_position_rms,delta_mean_max_abs_cart_position,delta_mean_abs_cart_velocity,delta_mean_pole_angular_velocity_rms,delta_mean_abs_normalized_action,delta_mean_abs_requested_effort,delta_mean_abs_action_delta,delta_mean_action_total_variation,delta_mean_action_sign_changes_per_second,delta_mean_action_saturation_fraction,delta_time_limit_fraction
R_CV2,B0,42,0.0,-0.0005111111111110178,-0.005999999999996675,-0.02467334011799406,-0.14320320824205157,-0.4583320045471191,-0.17518001013861761,0.0032233039569924127,-0.01882152059872945,-1.882149595811632,-0.0005896020783789627,-1.0606941390037536,-0.09866666666666668,8.888888888888889e-05,0.0
R_CV2,B0,123,0.0,0.0029111111111111976,0.12199999999999633,-0.0064521883298811825,0.5786290085978841,0.19377023160457607,0.007914268408881299,-0.059288605684782725,-0.00015830908086564809,-0.015831121826171968,-0.0006446485667840981,-1.1597227716445921,-0.029333333333333333,-0.00011111111111111114,0.0
A_E50,B0,7,0.0,-0.0034888888888888747,-0.14533333333333331,0.005914340623040384,-0.31155040514903554,-0.19128509044647224,-0.013435448692242308,0.025556352116724634,0.0038841806888580323,-0.10659375400543214,0.00022139623057119973,0.39829181879758835,0.021333333333333333,0.0007333333333333334,0.0
A_E50,B0,42,0.0,0.0006666666666667043,0.03800000000000381,-0.026503873901449874,0.18369279275511663,-0.14239253044128408,-0.16255049692789714,0.02898541849123032,-0.008991335932413736,-1.7444034640842014,-0.000177795718682349,-0.3198544979095457,-0.08933333333333335,0.0011111111111111111,0.0
A_E50,B0,123,-0.07999999999999996,-0.011377777777777709,-0.5773333333333355,0.01759825058025284,0.004507903265918767,0.1541177958250045,0.05270896093580457,-0.0613121430236343,0.014493063796891106,0.47819217732747393,-4.903726971368133e-05,-0.08821804821491241,0.0,0.0005777777777777778,0.0
A_E200,B0,7,0.0,-0.00046666666666661527,-0.023333333333329875,0.0010009336087779125,-0.8032333469427264,-0.25294673204422,-0.007189478492736816,0.03565306773098098,-0.0031851788560549417,-0.035457045830620704,-0.00035599346870578217,-0.6404322502017021,0.0,-0.00022222222222222223,0.0
A_E200,B0,42,0.0,0.0009111111111110848,0.044000000000004036,-0.0284360227287298,-1.1090728989382606,-1.0345241236686706,-0.20163951865302193,0.0584050549612104,-0.02349780626959271,-2.109908234490289,-0.0006655892297385334,-1.1973950242996214,-0.10400000000000001,-4.4444444444444447e-05,0.0
A_E200,B0,123,0.0,0.00188888888888894,0.07933333333332726,-0.000848065217041765,0.8475004235522643,0.4475251382589339,0.01214454930623373,-0.055758595390199756,-0.0022127445962693954,0.05037065802680113,-0.000748146537478067,-1.345915620923042,-0.029333333333333333,-0.00026666666666666673,0.0
T_B15,B0,7,-0.040000000000000036,-0.030888888888888855,-1.650666666666666,0.04437557203876874,-0.12657639100676044,-0.02979472398757932,0.08033349213070339,0.13214540311808362,0.029577297525935704,2.9577270672268337,0.007279262694034409,-0.08042330175638202,0.09466666666666668,0.0058,-0.040000000000000036
T_B15,B0,42,0.0,-0.0031111111111110645,-1.2539999999999978,0.025684856042221288,-0.9731054117834859,-0.9410459041595458,0.24982730577256942,0.12276621956300415,0.027366165161132813,2.7366152777777777,0.0010759423983766345,1.9356203746795657,0.2426666666666667,0.0003111111111111111,0.0
T_B15,B0,123,0.0,-0.007444444444444365,-0.40533333333333843,0.01309287500171797,0.09319961167457846,0.019484857916831966,0.02955325414869521,0.005994148088119988,0.0031485725111431552,0.31485178222656246,-0.0004806263000187178,-0.8646467137336729,-0.008,-2.2222222222222196e-05,0.0
T_B60,B0,7,0.0,-0.00022222222222223476,-0.006666666666664156,0.0006940938964341871,-0.5129747084170404,-0.0009360396862030385,0.0351940052456326,-0.012439352238610452,0.0036276134808858242,0.362757027859158,-0.00012948084318220392,-0.2329360368847846,0.006666666666666667,2.2222222222222196e-05,0.0
T_B60,B0,42,-1.0,-0.7823346812114614,-29.68733333333333,0.7015543299765228,-0.21331178218094382,0.760780119895935,10.732994162555917,6.046834044236127,3.7701304762500634,377.01305594282144,0.49276256841274996,4.5976100730896,-0.11333333333333334,0.8592558432279794,-1.0
T_B60,B0,123,-0.040000000000000036,-0.042014925373134226,-1.3960000000000043,0.06979790278126193,0.38859878030581885,0.22998630940914155,0.28263510346357307,0.1699716092036721,0.04324248583688467,4.324251390037726,0.0015079263950495817,-1.2297751891613005,0.00915422885572139,0.01863781094527363,-0.040000000000000036
