run_id,variant_id,training_seed,evaluation_seed,environment_id,length_steps,termination_reason,robust_success,action_saturation_fraction,action_sign_changes_per_second,action_total_variation,cart_position_rms,longest_upright_seconds,max_abs_cart_position,mean_abs_action_delta,mean_abs_cart_velocity,mean_abs_normalized_action,mean_abs_requested_effort,pole_angle_rms_radians,pole_angular_velocity_rms,upright_fraction_12deg
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,14,1800,time_limit,True,0.0022222222222222222,0.03333333333333333,3.218569278717041,0.6386990442955334,29.316666666666666,0.6712632775306702,0.001789087981499189,0.07571378072102865,0.01754140959845649,0.8770522054036458,0.04786474206432524,0.31267639607011705,0.9822222222222222
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,15,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,1.470810890197754,0.646078923608938,30.0,0.8234710693359375,0.0008175713675362724,0.030389715830485026,0.006707636515299479,0.335389641655816,0.015036701385855698,0.1057840189343642,1.0
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,16,1800,time_limit,True,0.002777777777777778,0.03333333333333333,3.691152572631836,0.7031017309035485,29.25,1.3262569904327393,0.002051780196015473,0.05953890482584635,0.013376935323079427,0.668819580078125,0.04770876244320075,0.3019189005597215,0.9816666666666667
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,17,1800,time_limit,True,0.0,0.0,0.6391347050666809,0.664254440193872,29.983333333333334,0.6864643096923828,0.0003552722095979327,0.010877401563856337,0.0023945819007025826,0.11972760518391927,0.01614729864382867,0.0553224284330619,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,18,1800,time_limit,True,0.0011111111111111111,0.0,1.9646952152252197,0.6450279283678855,29.866666666666667,0.7673787474632263,0.0010921040662730515,0.04732641008165148,0.009675357606675889,0.4837486775716146,0.02864266349131476,0.17670444420502457,0.9955555555555555
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,19,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,1.6993799209594727,0.647392428842617,29.983333333333334,0.9453007578849792,0.0009446247476150487,0.0581116697523329,0.01255337291293674,0.6276466200086805,0.01886922143925147,0.10553182089696399,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,20,1800,time_limit,True,0.0011111111111111111,0.03333333333333333,2.3073251247406006,0.6404312196334304,29.916666666666668,0.6712630987167358,0.001282559824758533,0.04935364617241753,0.011119361453586154,0.5559502156575521,0.029611642303934853,0.19660965734378322,0.9972222222222222
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,21,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,1.3606431484222412,0.6414371757160829,29.983333333333334,0.6712631583213806,0.0007563330452597227,0.04654494815402561,0.010068204667833116,0.5033916558159722,0.020557182669320426,0.07902099860385514,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,22,1800,time_limit,True,0.0005555555555555556,0.0,2.003169059753418,0.678326857877249,29.916666666666668,0.8585448265075684,0.001113490305588337,0.023509513007269965,0.005180477566189236,0.25903254191080727,0.021697569871347917,0.1448813181448353,0.9972222222222222
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,23,1800,time_limit,True,0.0022222222222222222,0.03333333333333333,3.390263795852661,0.6435223321880442,29.333333333333332,0.9107789993286133,0.0018845268459436694,0.08550299750434028,0.019548496670193143,0.9774555799696181,0.04728097377443443,0.32026607683579006,0.9827777777777778
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,7,101,24,1800,time_limit,True,0.0,0.0,0.16581782698631287,0.6849061806094169,29.983333333333334,1.000347375869751,9.217222178227508e-05,0.010892023510403104,0.0022350003984239366,0.11174840291341145,0.010142031114477068,0.01476098123824374,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,0,1800,time_limit,True,0.0038888888888888888,0.03333333333333333,2.0504767894744873,1.7430435894896923,29.533333333333335,1.7759288549423218,0.0011397869869230058,0.04531369103325738,0.010983214908175998,0.549156494140625,0.0434932897514984,0.3066740737241651,0.9894444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,1,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,1.5838491916656494,1.61537925610645,29.983333333333334,1.7759288549423218,0.0008804053316651747,0.09592675950792101,0.020413341522216796,1.020648193359375,0.019777448465996512,0.11316475091959707,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,2,1800,time_limit,True,0.0,0.0,0.17301544547080994,1.648616038251436,29.983333333333334,1.7759286165237427,9.617312144013893e-05,0.0699032719930013,0.014051276312934027,0.7025416395399305,0.01907806466318959,0.012864640888286137,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,3,1800,time_limit,True,0.0011111111111111111,0.03333333333333333,2.9547007083892822,1.6104532189146321,29.5,1.7759287357330322,0.0016424128451302292,0.11869446648491754,0.02518232345581055,1.2591311306423612,0.03356112095663359,0.1727608526402806,0.9883333333333333
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,4,1800,time_limit,True,0.0,0.0,0.8236703276634216,1.6988299563187927,29.916666666666668,1.7759286165237427,0.00045784898702802757,0.047097621493869354,0.009754243426852756,0.4877088080512153,0.023141383418876286,0.08843402377943588,0.9972222222222222
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,5,1800,time_limit,True,0.0022222222222222222,0.03333333333333333,2.838682174682617,1.6080464952282856,29.416666666666668,1.7759284973144531,0.0015779222760881697,0.13114556206597222,0.028738271925184463,1.4369264051649306,0.04205804908786897,0.2873558383279876,0.9872222222222222
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,6,1800,time_limit,True,0.0011111111111111111,0.0,1.3270301818847656,1.668411196359845,29.9,1.7759287357330322,0.0007376487948219931,0.07170140584309896,0.014566245608859591,0.7282881673177083,0.022125264251816767,0.14821996263964216,0.9966666666666667
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,7,1800,time_limit,True,0.0022222222222222222,0.03333333333333333,2.194591522216797,1.6247159373780202,29.883333333333333,1.7759287357330322,0.0012198952319159516,0.09456537034776476,0.020659192403157552,1.032939927842882,0.03243962814252504,0.2562748925335396,0.9961111111111111
